heat,name,class,number,assignment,checked_in
1,"Aguilar, Joseph",HS,11,worker,
1,"Baker, Jack",SMF,130,grid,
1,"Barnes, Oliver",NOVAS,10,worker,
1,"Chavez, Jackson",NOVCST,3,worker,
1,"Chavez, Jackson",NOVHS,15,worker,
1,"Coleman, Hannah",HS,24,worker,
1,"Cook, Elijah",HS,28,worker,
1,"Davis, Sophia",CAM-T,28,captain,
1,"Edwards, Eleanor",HS,37,captain,
1,"Evans, Nathan",AS,26,worker,
1,"Foster, Theodore",NOVCAM-T,131,worker,
1,"Gonzalez, Benjamin",PAST,21,start,
1,"Graham, Mia",GS,197,captain,
1,"Gray, Avery",NOVHS,98,worker,
1,"Henderson, Mia",ESP,48,worker,
1,"Hernandez, James",CAM-T,11,worker,
1,"Hughes, Samuel",NOVAS,8,worker,
1,"Jimenez, Zoey",NOVGS,523,worker,
1,"Johnson, Noah",CAM-T,23,instructor,
1,"Jones, Ava",CAM-T,69,worker,
1,"Jordan, Charlotte",CST,15,captain,
1,"King, Grace",GS,94,worker,
1,"Lopez, Charlotte",SMF,9,grid,
1,"Moreno, Abigail",CST,42,worker,
1,"Murphy, Oliver",NOVGS,49,worker,
1,"Murray, Luna",SMF,8,worker,
1,"Nelson, Lily",GS,10,timing,
1,"Ortiz, Isabella",FP,773,worker,
1,"Patterson, Benjamin",PEP,69,instructor,
1,"Reynolds, Henry",PCS,37,captain,
1,"Rogers, Sophia",GS,4,timing,
1,"Scott, Leo",CST,24,worker,
1,"Stewart, Isaac",SM,13,worker,
1,"Taylor, Henry",CST,35,special,
1,"Thomas, Mia",SMF,68,special,
1,"Turner, Elias",PEP,68,instructor,
1,"Vasquez, William",NOVHS,40,worker,
1,"Wallace, Michael",PSSC,19,worker,
2,"Adams, Penelope",DP,13,worker,
2,"Allen, Samuel",GST,21,timing,
2,"Alvarez, Grace",NOVBST,69,worker,
2,"Brooks, Ella",NOVBS,55,worker,
2,"Castillo, Victoria",BS,171,worker,
2,"Coleman, Hannah",NOVGST,51,worker,
2,"Cooper, Charlotte",XA,18,worker,
2,"Cox, Abigail",NOVBST,74,worker,
2,"Cruz, Layla",FS,30,instructor,
2,"Garcia, Emily",BST,318,worker,
2,"Garcia, Liam",FS,6,worker,
2,"Gibson, Sofia",ES,29,grid,
2,"Gutierrez, William",ES,21,grid,
2,"Harris, Michael",XA,44,captain,
2,"Howard, Henry",NOVBS,42,worker,
2,"Hughes, Samuel",BS,57,captain,
2,"Jackson, Harper",ES,944,worker,
2,"Kelly, Mia",NOVES,144,worker,
2,"Martinez, Isabella",BS,75,worker,
2,"Martinez, Matthew",NOVFS,171,worker,
2,"Mendoza, David",NOVGST,27,worker,
2,"Miller, Elijah",BS,86,worker,
2,"Moore, Alexander",CSM,39,instructor,
2,"Powell, Nathan",NOVBS,26,worker,
2,"Ramos, Evelyn",NOVFS,9,worker,
2,"Ramos, Evelyn",NOVBS,11,worker,
2,"Rodriguez, Sofia",BST,26,captain,
2,"Rodriguez, William",DP,52,worker,
2,"Romero, James",NOVGST,33,worker,
2,"Ruiz, Joseph",NOVBS,7,worker,
